system   D            wsystem.c:583  maybe_parent_dir                 [   0.00148] Also searching C:\Users\user\Source\Repos\My-Projects\Forgotten Dungeon (C++)\
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.34183] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.34188] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.34193] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.34198] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.34202] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.34210] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.34216] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.34221] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.34293] added dtor for object 048D18F8, func 0F6E25BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.35240] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.35254] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35456] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35464] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35467] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35471] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35475] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35478] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35481] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35484] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35487] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.35491] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.35494] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.35497] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.35502] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.35634] added dtor for object 048D2C80, func 0F6E25BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.36120] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.36130] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37053] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37064] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37069] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37074] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37079] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37084] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37089] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37093] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.37098] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.37103] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.37108] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.37114] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.37119] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.37223] added dtor for object 04910340, func 0F6E25BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.38895] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.38906] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.39787] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.39796] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.39802] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.39807] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.39811] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.39816] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.39821] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.39826] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.39831] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.39836] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.39841] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.39847] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.39862] Chose bitmap format 9
